Temperature_C,Voltage_mV
-10.0,-0.501
-11.0,-0.55
-12.0,-0.6
-13.0,-0.65
-14.0,-0.699
-15.0,-0.749
-16.0,-0.798
-17.0,-0.847
-18.0,-0.896
-19.0,-0.946
-20.0,-0.995
0.0,0.0
-1.0,-0.05
-2.0,-0.101
-3.0,-0.151
-4.0,-0.201
-5.0,-0.251
-6.0,-0.301
-7.0,-0.351
-8.0,-0.401
-9.0,-0.451
-10.0,-0.501
0.0,0.0
1.0,0.05
2.0,0.101
3.0,0.151
4.0,0.202
5.0,0.253
6.0,0.303
7.0,0.354
8.0,0.405
9.0,0.456
10.0,0.507
10.0,0.507
11.0,0.558
12.0,0.609
13.0,0.66
14.0,0.711
15.0,0.762
16.0,0.814
17.0,0.865
18.0,0.916
19.0,0.968
20.0,1.019
20.0,1.019
21.0,1.071
22.0,1.122
23.0,1.174
24.0,1.226
25.0,1.277
26.0,1.329
27.0,1.381
28.0,1.433
29.0,1.485
30.0,1.537
30.0,1.537
31.0,1.589
32.0,1.641
33.0,1.693
34.0,1.745
35.0,1.797
36.0,1.849
37.0,1.902
38.0,1.954
39.0,2.006
40.0,2.059
40.0,2.059
41.0,2.111
42.0,2.164
43.0,2.216
44.0,2.269
45.0,2.322
46.0,2.374
47.0,2.427
48.0,2.48
49.0,2.532
50.0,2.585
50.0,2.585
51.0,2.638
52.0,2.691
53.0,2.744
54.0,2.797
55.0,2.85
56.0,2.903
57.0,2.956
58.0,3.009
59.0,3.062
60.0,3.116
60.0,3.116
61.0,3.169
62.0,3.222
63.0,3.275
64.0,3.329
65.0,3.382
66.0,3.436
67.0,3.489
68.0,3.543
69.0,3.596
70.0,3.65
70.0,3.65
71.0,3.703
72.0,3.757
73.0,3.81
74.0,3.864
75.0,3.918
76.0,3.971
77.0,4.025
78.0,4.079
79.0,4.133
80.0,4.187
